Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе в зернах Tasty Coffee Бэрри, 250 г;231706603;1ЭС020;https://www.ozon.ru/product/231706603;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;2 209 142 ₽;+28%;3 533;1 ₽;625 ₽;0 ₽;26 из 28;78 201 ₽;125;FBO;55 ч;1,5;44,0%;58,0%;147 343;43 825;1,39%;8,35%;12,3%;96,0%;2021-02-19
Кофе в зернах Poetti Leggenda Ruby, натуральный, жареный, 1 кг;697311776;18002;https://www.ozon.ru/product/697311776;Poetti;Продукты питания;Кофе в зернах;Нет;2 208 981 ₽;+855%;1 800;103 ₽;1 227 ₽;0 ₽;15 из 28;77 502 ₽;63;FBO;64 ч;5,7;42,0%;54,0%;40 523;18 567;1,40%;11,35%;0,0%;93,1%;2022-09-02
Кофе в зёрнах Jardin Cafe Eclair, арабика, 250 г;144680311;1341-12, 1341-12-1, 1341-12-0, 1341-12-0;https://www.ozon.ru/product/144680311;Jardin;Продукты питания;Кофе в зернах;Нет;2 202 034 ₽;+67%;6 122;1 ₽;360 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,1;53,0%;76,0%;249 103;58 823;1,35%;10,58%;2,6%;0,0%;0001-01-01
Кофе в зернах 1 кг, Julius Meinl 100% Арабика, Эфиопия (Сидамо);1126713725;97933;https://www.ozon.ru/product/1126713725;Julius Meinl;Продукты питания;Кофе в зернах;Нет;2 200 861 ₽;-35%;1 254;18 ₽;1 755 ₽;0 ₽;5 из 28;77 129 ₽;44;FBO;28 ч;4,9;38,0%;47,0%;149 067;22 168;0,24%;8,31%;2,0%;95,8%;2023-08-09
Tibio Gold Selection кофе растворимый, 285 г;135060555;23540;https://www.ozon.ru/product/135060555;Tibio;Продукты питания;Кофе растворимый;Нет;2 195 264 ₽;+39%;2 790;1 ₽;787 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,0;45,0%;59,0%;183 462;24 276;0,34%;11,69%;5,9%;0,0%;0001-01-01
Кофе молотый Carte Noire Original, 200 г;2432687069;4024593;https://www.ozon.ru/product/2432687069;Carte Noire;Продукты питания;Кофе молотый;Нет;2 162 142 ₽;+60%;4 912;1 ₽;440 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,6;49,0%;67,0%;266 578;76 142;2,58%;12,30%;16,4%;0,0%;0001-01-01
Набор зернового кофе Delonghi GIFT SET COFFEE 4*250GR;2395080587;AS00010007;https://www.ozon.ru/product/2395080587;DeLonghi;Продукты питания;Кофе в зернах;Нет;2 139 776 ₽;+10%;1 031;1 472 ₽;2 075 ₽;163 271 ₽;22 из 28;81 635 ₽;39;FBO;66 ч;5,5;36,0%;44,0%;73 008;28 864;0,27%;6,91%;2,8%;94,2%;2025-07-02
Кофе растворимый Вьетнам, сублимированный, пакет 500грамм;1480743237;004;https://www.ozon.ru/product/1480743237;ORANGE PRODUKTORIUM;Продукты питания;Кофе растворимый;Нет;2 135 742 ₽;-21%;2 670;1 ₽;800 ₽;0 ₽;7 из 28;75 609 ₽;94;FBO;28 ч;2,9;43,0%;56,0%;114 854;39 724;0,46%;9,28%;0,0%;97,4%;2024-03-18
Кофе в зёрнах Jardin Espresso Gusto, арабика, робуста, 1 кг;33069286;0934-08, 0934-06-0, 0934-06-0;https://www.ozon.ru/product/33069286;Jardin;Продукты питания;Кофе в зернах;Нет;2 125 782 ₽;+240%;1 559;1 ₽;1 364 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,3;39,0%;49,0%;55 307;43 398;1,56%;5,70%;0,0%;0,0%;0001-01-01
Кофе в зернах Бразилия Сантос Last Wish 1 кг бразильская арабика 100% средняя обжарка;243920472;БС-1;https://www.ozon.ru/product/243920472;LAST WISH;Продукты питания;Кофе в зернах;Нет;2 125 470 ₽;+22%;1 304;127 ₽;1 630 ₽;0 ₽;17 из 28;76 019 ₽;47;FBO;32 ч;7,3;41,0%;51,0%;59 946;23 261;0,35%;7,80%;3,3%;96,6%;2021-03-22
Кофе молотый TOTTI Caffe Arabica Espresso, 200 г;2666512748;ШФ000040510;https://www.ozon.ru/product/2666512748;Totti;Продукты питания;Кофе молотый;Нет;2 111 791 ₽;+14%;8 478;1 ₽;249 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,8;57,0%;84,0%;516 379;36 743;0,56%;20,20%;0,0%;0,0%;0001-01-01
Кофе в зернах Alta Roma Crema 1 кг;1472638837;AR_CRE_V;https://www.ozon.ru/product/1472638837;Alta Roma;Продукты питания;Кофе в зернах;Нет;2 105 019 ₽;+20%;1 610;1 ₽;1 307 ₽;0 ₽;4 из 28;75 230 ₽;58;FBO;28 ч;5,0;39,0%;49,0%;45 224;14 310;0,93%;11,46%;1,2%;97,9%;2024-03-14
Кофе в зёрнах BUSHIDO Black Katana, арабика, 227 г;174481247;BU22712007;https://www.ozon.ru/product/174481247;BUSHIDO;Продукты питания;Кофе в зернах;Нет;2 104 786 ₽;+114%;3 924;1 ₽;536 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,9;46,0%;62,0%;259 245;53 677;0,58%;9,92%;20,8%;0,0%;0001-01-01
Кофе в зернах Арабика 1 кг Италия;2022751702;у;https://www.ozon.ru/product/2022751702;без бренда;Продукты питания;Кофе в зернах;Нет;2 067 947 ₽;+913%;1 717;100 ₽;1 204 ₽;806 449 ₽;28 из 28;100 806 ₽;84;FBO;51 ч;8,6;45,0%;59,0%;40 187;7 555;1,75%;24,88%;0,2%;95,9%;2025-04-11
"Кофе молотый ""Символ года 2026 - Лошадь бежевая"", GET&JOY, Бразилия, 100% Арабика, 100 гр, в керамической чайнице 470 мл /Подарок на Новый год и Рождество";2560301772;43803;https://www.ozon.ru/product/2560301772;GET&JOY;Продукты питания;Кофе молотый;Нет;2 066 807 ₽;+143%;2 189;75 ₽;944 ₽;0 ₽;26 из 28;72 074 ₽;76;FBO;55 ч;3,3;43,0%;57,0%;118 029;33 108;0,45%;13,25%;0,1%;95,1%;2025-07-28
