Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе растворимый Monarch Original, 400 г;258846372;8060126;https://www.ozon.ru/product/258846372;Monarch;Продукты питания;Кофе растворимый;Нет;130 423 968 ₽;+64%;164 062;1 ₽;795 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,2;46,0%;61,0%;1 211 122;851 706;2,83%;17,64%;5,2%;0,0%;0001-01-01
Кофе растворимый Monarch Original, 800 г;1040586790;4070479;https://www.ozon.ru/product/1040586790;Monarch;Продукты питания;Кофе растворимый;Нет;52 756 908 ₽;+144%;31 971;1 ₽;1 650 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,3;39,0%;48,0%;792 934;231 148;1,10%;14,39%;5,0%;0,0%;0001-01-01
Кофе растворимый Нескафе Голд, 500 г;149710140;12348494;https://www.ozon.ru/product/149710140;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;46 590 664 ₽;+44%;42 029;1 ₽;1 109 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,6;40,0%;51,0%;514 998;261 327;2,05%;14,40%;0,7%;0,0%;0001-01-01
Кофе в зёрнах Poetti Daily Mokka, арабика, робуста, 1 кг;686577164;18101;https://www.ozon.ru/product/686577164;Poetti;Продукты питания;Кофе в зернах;Нет;33 530 072 ₽;-43%;32 383;1 ₽;1 035 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,2;44,0%;57,0%;651 200;293 070;1,61%;12,91%;0,8%;0,0%;0001-01-01
Кофе растворимый BUSHIDO Original, 100 г;34362301;7610121710318;https://www.ozon.ru/product/34362301;BUSHIDO;Продукты питания;Кофе растворимый;Нет;32 292 118 ₽;+93%;46 470;1 ₽;695 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;40,0%;52,0%;933 723;366 895;1,65%;12,00%;2,6%;0,0%;0001-01-01
Кофе в зернах 1 кг, 100% Арабика, Бразилия, Сул де Минас, DON CUP ESPRESSO PREMIUM BLEND свежеобжаренный зерновой кофе;1099382185;АВ-0000005;https://www.ozon.ru/product/1099382185;DON CUP;Продукты питания;Кофе в зернах;Нет;32 083 514 ₽;+17%;22 402;114 ₽;1 432 ₽;0 ₽;3 из 28;1 137 276 ₽;795;FBO;28 ч;3,1;38,0%;48,0%;1 921 480;178 087;0,38%;15,22%;4,5%;97,1%;2023-07-26
Кофе растворимый Monarch Original, 270 г;281052098;8052852;https://www.ozon.ru/product/281052098;Monarch;Продукты питания;Кофе растворимый;Нет;27 921 026 ₽;+119%;39 618;1 ₽;705 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,1;42,0%;55,0%;953 186;359 447;1,98%;13,97%;9,8%;0,0%;0001-01-01
Кофе в зёрнах Piazza del Caffee Crema Vellutata, робуста, 1 кг;147404011;1367-06, 1369-06-0, 1367-06-0, 1367-06-0;https://www.ozon.ru/product/147404011;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;27 026 224 ₽;+52%;23 371;1 ₽;1 156 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,4;42,0%;53,0%;970 469;248 595;1,42%;11,54%;4,8%;0,0%;0001-01-01
Кофе в зёрнах Jardin Crema, арабика, робуста, 1 кг;33069284;0846-06-0, 0846-06-0;https://www.ozon.ru/product/33069284;Jardin;Продукты питания;Кофе в зернах;Нет;26 656 526 ₽;+172%;22 200;1 ₽;1 201 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,7;39,0%;49,0%;1 293 849;198 111;0,90%;13,34%;11,1%;0,0%;0001-01-01
Кофе растворимый Нескафе Классик, 500 г;173826820;12434406;https://www.ozon.ru/product/173826820;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;26 406 656 ₽;-10%;28 664;1 ₽;921 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,8;39,0%;49,0%;417 616;137 164;1,63%;17,42%;0,7%;0,0%;0001-01-01
Кофе в зернах 1 кг, ESPRESSO PREMIUM DE JANEIRO, арабика 100%;183196970;DJ-PREMIUM-1000;https://www.ozon.ru/product/183196970;DE JANEIRO;Продукты питания;Кофе в зернах;Нет;23 275 064 ₽;+11%;14 284;128 ₽;1 629 ₽;0 ₽;6 из 28;822 994 ₽;505;FBO;28 ч;2,9;37,0%;45,0%;983 066;127 453;0,40%;13,71%;3,4%;96,6%;2020-07-29
Кофе в зёрнах Poetti Daily Arabica Standart, 1 кг;686577294;18106;https://www.ozon.ru/product/686577294;Poetti;Продукты питания;Кофе в зернах;Нет;21 579 890 ₽;+763%;17 385;1 ₽;1 241 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,2;40,0%;50,0%;633 714;208 721;1,34%;10,95%;1,3%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;643726547;2МЭ002ЗЕРН;https://www.ozon.ru/product/643726547;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;20 537 302 ₽;+13%;9 097;1 ₽;2 258 ₽;0 ₽;25 из 28;728 722 ₽;323;FBO;43 ч;4,2;37,0%;44,0%;997 197;90 880;0,40%;9,89%;10,0%;96,0%;2022-07-15
Кофе в зернах DeLonghi MILK SELECTION BLEND, 1кг;674786503;5513284931;https://www.ozon.ru/product/674786503;DeLonghi;Продукты питания;Кофе в зернах;Нет;19 785 884 ₽;+44%;11 562;1 ₽;1 711 ₽;0 ₽;14 из 28;323 476 ₽;191;FBO;42 ч;4,3;38,0%;46,0%;948 599;128 743;0,53%;9,57%;5,3%;97,4%;2022-08-16
Кофе в зернах БРАЗИЛИЯ Espresso Интенсив Арабика, Робуста 1 кг Высший сорт;1687029357;АВ-0000020;https://www.ozon.ru/product/1687029357;DON CUP;Продукты питания;Кофе в зернах;Нет;19 291 322 ₽;+1%;16 528;95 ₽;1 167 ₽;0 ₽;5 из 28;684 935 ₽;587;FBO;28 ч;2,8;39,0%;48,0%;605 003;151 225;0,81%;14,84%;1,4%;97,9%;2024-09-09
Кофе молотый Жокей По-восточному, 250 г;33069368;0270-12, 0270-12-0, 0270-12-0;https://www.ozon.ru/product/33069368;Жокей;Продукты питания;Кофе молотый;Нет;19 289 420 ₽;+145%;63 222;1 ₽;305 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;48,0%;67,0%;412 503;241 051;4,70%;18,16%;0,1%;0,0%;0001-01-01
Кофе в зёрнах Piazza del Caffe Espresso Forte, робуста, 1 кг;140322887;1097-06-02, 1097-06-03;https://www.ozon.ru/product/140322887;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;19 218 666 ₽;+51%;16 047;1 ₽;1 198 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,8;42,0%;53,0%;1 215 303;243 587;0,70%;10,05%;6,3%;0,0%;0001-01-01
Кофе в зёрнах Ozon fresh Brazil Single Origin, 1 кг;965387740;4607973271756;https://www.ozon.ru/product/965387740;Ozon fresh;Продукты питания;Кофе в зернах;Нет;18 543 094 ₽;+1%;17 391;1 ₽;1 066 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,2;41,0%;53,0%;878 430;163 147;0,66%;12,45%;0,6%;0,0%;0001-01-01
Кофе растворимый Monarch Caramel, 95 г;281052102;8051221;https://www.ozon.ru/product/281052102;Monarch;Продукты питания;Кофе растворимый;Нет;17 642 692 ₽;+97%;53 116;1 ₽;332 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,9;50,0%;70,0%;987 935;465 298;4,09%;13,06%;6,7%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Натти, 1 кг;715106535;03ЭС020;https://www.ozon.ru/product/715106535;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;17 573 496 ₽;+15%;7 807;1 ₽;2 251 ₽;0 ₽;25 из 28;604 138 ₽;269;FBO;50 ч;7,0;38,0%;47,0%;2 627 909;113 117;0,15%;7,54%;12,4%;94,3%;2022-09-16
Кофе растворимый Monarch Miligrano с молотым, 350 г;1482873263;4058112;https://www.ozon.ru/product/1482873263;Monarch;Продукты питания;Кофе растворимый;Нет;16 373 222 ₽;-21%;18 089;1 ₽;905 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,8;40,0%;51,0%;541 963;184 305;1,60%;13,14%;4,4%;0,0%;0001-01-01
Кофе в зёрнах Monarch Original, 1 кг;177340387;8050260;https://www.ozon.ru/product/177340387;Monarch;Продукты питания;Кофе в зернах;Нет;16 030 354 ₽;+144%;12 274;1 ₽;1 306 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,5;42,0%;54,0%;619 095;95 761;1,49%;16,59%;11,6%;0,0%;0001-01-01
Кофе в зернах DeLonghi ESPRESSO SELECTION BLEND, 1кг;578251273;5513284921;https://www.ozon.ru/product/578251273;DeLonghi;Продукты питания;Кофе в зернах;Нет;15 488 985 ₽;+29%;9 239;1 ₽;1 676 ₽;0 ₽;17 из 28;305 062 ₽;184;FBO;57 ч;4,0;37,0%;46,0%;691 120;121 667;0,46%;10,75%;4,0%;95,9%;2022-05-05
Кофе в зернах Tasty Coffee Christmas Blend 2026, 250 г;1752433287;Christmas2025_ЗЕРН_250;https://www.ozon.ru/product/1752433287;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;15 361 052 ₽;+427%;23 031;1 ₽;667 ₽;0 ₽;26 из 28;515 832 ₽;772;FBO;50 ч;1,4;43,0%;57,0%;360 410;124 440;3,07%;14,40%;9,4%;96,2%;2024-11-08
Кофе молотый Жокей По-восточному, 450 г;33069369;0346-12-Н, 0346-12-0, 0346-12-0;https://www.ozon.ru/product/33069369;Жокей;Продукты питания;Кофе молотый;Нет;15 266 074 ₽;+68%;28 363;1 ₽;538 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,3;45,0%;61,0%;269 692;173 558;2,63%;14,53%;1,7%;0,0%;0001-01-01
Кофе в зернах DeLonghi BIANCO CREMA 800 гр.;2224088713;AS00010008;https://www.ozon.ru/product/2224088713;DeLonghi;Продукты питания;Кофе в зернах;Нет;13 850 548 ₽;+22%;12 737;1 ₽;1 087 ₽;0 ₽;17 из 28;480 618 ₽;441;FBO;53 ч;3,0;39,0%;49,0%;981 167;221 438;0,43%;10,58%;7,6%;94,3%;2025-06-02
Кофе молотый Lavazza Crema e Gusto, 250 г;32933700;3876;https://www.ozon.ru/product/32933700;Lavazza;Продукты питания;Кофе молотый;Нет;12 961 757 ₽;+46%;25 055;1 ₽;517 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,6;45,0%;61,0%;180 081;72 783;5,75%;18,29%;0,0%;0,0%;0001-01-01
Кофе в зёрнах Jardin Americano Crema, арабика, робуста, 1 кг;138355208;1090-06-Н, 1090-06-0, 1090-06-0;https://www.ozon.ru/product/138355208;Jardin;Продукты питания;Кофе в зернах;Нет;12 771 972 ₽;+186%;10 063;1 ₽;1 269 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,4;42,0%;53,0%;643 906;102 367;0,81%;13,16%;7,8%;0,0%;0001-01-01
Кофе растворимый Нескафе, Голд Арома Интенсо, 500 г;1563876583;12583118;https://www.ozon.ru/product/1563876583;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;12 672 096 ₽;-4%;11 573;1 ₽;1 095 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,7;41,0%;52,0%;193 856;85 299;0,90%;13,28%;0,9%;0,0%;0001-01-01
Кофе растворимый Carte Noire Original, банка, 95 г;33871154;604350;https://www.ozon.ru/product/33871154;Carte Noire;Продукты питания;Кофе растворимый;Нет;12 045 781 ₽;+184%;25 392;1 ₽;474 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,9;44,0%;59,0%;674 592;190 155;2,58%;15,29%;2,7%;0,0%;0001-01-01
Кофе молотый Жокей Традиционный, 450 г;33069372;0345-12-Н, 0345-12-0, 0345-12-0;https://www.ozon.ru/product/33069372;Жокей;Продукты питания;Кофе молотый;Нет;11 578 463 ₽;+76%;24 643;1 ₽;470 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,2;45,0%;60,0%;376 043;168 958;2,30%;15,21%;1,8%;0,0%;0001-01-01
Кофе растворимый Monarch Velour, 95 г;33871141;658435;https://www.ozon.ru/product/33871141;Monarch;Продукты питания;Кофе растворимый;Нет;11 487 872 ₽;+133%;44 859;1 ₽;256 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,7;38,0%;48,0%;941 275;381 608;4,24%;16,39%;8,3%;0,0%;0001-01-01
Кофе растворимый Нескафе Классик Кремá, 450 г;1563876584;12583163;https://www.ozon.ru/product/1563876584;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;11 208 689 ₽;+62%;11 477;1 ₽;977 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,1;45,0%;59,0%;241 665;76 282;1,34%;12,83%;0,7%;0,0%;0001-01-01
Кофе растворимый Monarch Miligrano, с молотым, 200 г;189236171;8052484;https://www.ozon.ru/product/189236171;Monarch;Продукты питания;Кофе растворимый;Нет;11 206 522 ₽;+43%;18 584;1 ₽;603 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,5;45,0%;60,0%;470 663;157 340;1,51%;12,36%;6,9%;0,0%;0001-01-01
Кофе в зёрнах EGOISTE Noir, арабика, 1 кг;34362277;"4260283250356;4260283250356";https://www.ozon.ru/product/34362277;EGOISTE;Продукты питания;Кофе в зернах;Нет;10 986 861 ₽;+30%;5 345;1 ₽;2 056 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,3;37,0%;45,0%;495 913;66 795;0,45%;7,57%;2,6%;0,0%;0001-01-01
Кофе молотый BUSHIDO Red Katana, 227 г;151792317;BU22712002;https://www.ozon.ru/product/151792317;BUSHIDO;Продукты питания;Кофе молотый;Нет;10 776 757 ₽;+113%;20 910;1 ₽;515 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,7;47,0%;64,0%;713 317;183 385;1,19%;11,58%;14,5%;0,0%;0001-01-01
Кофе в зернах 1 кг, Julius Meinl Вена Меланж;1015925564;95331;https://www.ozon.ru/product/1015925564;Julius Meinl;Продукты питания;Кофе в зернах;Нет;10 721 007 ₽;+4%;6 701;124 ₽;1 600 ₽;0 ₽;7 из 28;194 266 ₽;121;FBO;29 ч;5,0;39,0%;48,0%;760 635;71 046;0,46%;11,21%;2,7%;94,6%;2023-06-05
Кофе натуральный растворимый сублимированный Jardin Colombia Medellin, 240 г;147404013;1412-08-0, 1412-08-0;https://www.ozon.ru/product/147404013;Jardin;Продукты питания;Кофе растворимый;Нет;10 580 406 ₽;+52%;17 408;1 ₽;608 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,3;46,0%;62,0%;821 160;140 401;0,85%;12,56%;10,0%;0,0%;0001-01-01
Кофе растворимый Monarch Original, 160 г;1880519281;4024468;https://www.ozon.ru/product/1880519281;Monarch;Продукты питания;Кофе растворимый;Нет;10 335 678 ₽;+137%;22 223;1 ₽;465 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,2;46,0%;62,0%;916 775;304 529;4,04%;17,38%;13,2%;0,0%;0001-01-01
Кофе в зернах 1 кг Эфиопия Сидамо Гуджи 100% Арабика Высший сорт;1687067871;АВ-0000023;https://www.ozon.ru/product/1687067871;DON CUP;Продукты питания;Кофе в зернах;Нет;10 223 442 ₽;+9%;7 429;115 ₽;1 376 ₽;0 ₽;4 из 28;365 570 ₽;266;FBO;28 ч;2,6;38,0%;46,0%;364 513;73 279;0,46%;14,21%;2,1%;97,7%;2024-09-09
Кофе растворимый Jardin Gold, сублимированный, 240 г;1238740615;1703-08;https://www.ozon.ru/product/1238740615;Jardin;Продукты питания;Кофе растворимый;Нет;10 212 888 ₽;+115%;19 051;1 ₽;536 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,8;47,0%;64,0%;690 389;174 173;0,87%;14,15%;3,8%;0,0%;0001-01-01
Кофе растворимый EGOISTE Noir, 100 г;34362278;4009041102243;https://www.ozon.ru/product/34362278;EGOISTE;Продукты питания;Кофе растворимый;Нет;10 069 459 ₽;+83%;19 187;1 ₽;525 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;45,0%;60,0%;484 340;168 124;1,62%;13,13%;0,0%;0,0%;0001-01-01
Кофе в капсулах L'OR Коллекция, набор для кофемашины Nespresso, арабика, 70 шт;160807699;160201;https://www.ozon.ru/product/160807699;L'OR;Продукты питания;Кофе в капсулах;Нет;9 828 199 ₽;+55%;5 265;1 ₽;1 867 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,5;38,0%;46,0%;579 421;74 631;0,76%;9,55%;25,4%;0,0%;0001-01-01
Кофе натуральный растворимый Monarch с ароматом апельсина и корицы, 90 г;2545530266;10004028;https://www.ozon.ru/product/2545530266;Monarch;Продукты питания;Кофе растворимый;Нет;9 580 938 ₽;+35%;28 412;1 ₽;337 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,5;52,0%;74,0%;782 630;536 471;6,89%;15,31%;13,6%;0,0%;0001-01-01
Кофе молотый Poetti Daily Mokka, 250 г;686577016;18102;https://www.ozon.ru/product/686577016;Poetti;Продукты питания;Кофе молотый;Нет;9 542 801 ₽;+51%;30 899;1 ₽;309 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,9;46,0%;63,0%;585 747;117 139;2,10%;17,30%;3,8%;0,0%;0001-01-01
Кофе в зернах DeLonghi MILK SELECTION BLEND, 800г;1766828286;AS00009456;https://www.ozon.ru/product/1766828286;DeLonghi;Продукты питания;Кофе в зернах;Нет;9 528 739 ₽;+7%;7 092;1 ₽;1 344 ₽;0 ₽;14 из 28;336 700 ₽;251;FBO;44 ч;3,5;38,0%;47,0%;456 498;187 264;0,43%;8,16%;7,9%;96,5%;2024-11-25
Кофе растворимый Monarch Original, 210 г;258846371;8052808;https://www.ozon.ru/product/258846371;Monarch;Продукты питания;Кофе растворимый;Нет;9 506 835 ₽;+161%;17 379;1 ₽;547 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,7;44,0%;60,0%;803 009;286 156;1,36%;9,14%;10,3%;0,0%;0001-01-01
Кофе молотый Tasty Coffee Christmas Blend 2026, 250 г;1752427708;Christmas2025_МОЛ_250;https://www.ozon.ru/product/1752427708;Tasty Coffee;Продукты питания;Кофе молотый;Нет;9 486 824 ₽;+391%;14 390;1 ₽;659 ₽;0 ₽;26 из 28;337 783 ₽;512;FBO;55 ч;5,9;49,0%;66,0%;318 689;90 728;2,47%;14,00%;9,6%;95,2%;2024-11-08
Кофе в зернах 1 кг ,Московская кофейня на паяхъ, Арабика;935350313;4601985103500;https://www.ozon.ru/product/935350313;Московская кофейня на паяхъ;Продукты питания;Кофе в зернах;Нет;9 400 594 ₽;+25%;5 617;1 ₽;1 674 ₽;0 ₽;23 из 28;329 062 ₽;197;FBO;40 ч;4,3;38,0%;47,0%;689 907;44 744;0,35%;14,63%;0,4%;95,5%;2023-04-13
Бразилия Моджиана Last Wish арабика кофе в зернах 1 кг средняя обжарка;243907690;БМ-1;https://www.ozon.ru/product/243907690;LAST WISH;Продукты питания;Кофе в зернах;Нет;9 274 551 ₽;+21%;5 709;1 ₽;1 625 ₽;0 ₽;19 из 28;327 104 ₽;201;FBO;33 ч;8,7;42,0%;52,0%;611 117;68 921;0,22%;12,89%;5,5%;97,5%;2021-03-22
Кофе молотый BUSHIDO Sensei, 227 г;151792312;BU22712004;https://www.ozon.ru/product/151792312;BUSHIDO;Продукты питания;Кофе молотый;Нет;8 924 170 ₽;+76%;16 520;1 ₽;540 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,9;44,0%;59,0%;639 127;159 153;1,07%;10,42%;13,2%;0,0%;0001-01-01
Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г;288435393;ДрипБэрри;https://www.ozon.ru/product/288435393;Tasty Coffee;Продукты питания;Кофе в дрип-пакетах;Нет;8 905 259 ₽;+275%;19 410;1 ₽;459 ₽;0 ₽;22 из 28;196 371 ₽;425;FBO;56 ч;1,8;48,0%;66,0%;593 865;135 280;2,00%;11,93%;16,5%;95,8%;2021-07-13
Кофе в зернах 1 кг, 100% АРАБИКА , Бразилия, Сантос, свежая обжарка;1142574343;INBRSANTOS1000;https://www.ozon.ru/product/1142574343;initio de coffee;Продукты питания;Кофе в зернах;Нет;8 888 395 ₽;-27%;5 639;129 ₽;1 576 ₽;0 ₽;22 из 28;319 333 ₽;203;FBO;32 ч;3,0;37,0%;46,0%;453 169;60 596;0,35%;11,16%;3,1%;95,9%;2023-08-18
Кофе в капсулах набор Ristrello для кофемашины Nespresso Арабика Робуста разной степени обжарки 6 видов 60 капсул . Интенсивность от 4 до 10;384529308;НБК-6973925920348;https://www.ozon.ru/product/384529308;Ristrello;Продукты питания;Кофе в капсулах;Нет;8 852 270 ₽;+138%;6 993;100 ₽;1 266 ₽;0 ₽;18 из 28;313 705 ₽;248;FBO,FBS;34 ч;5,0;41,0%;53,0%;379 358;67 216;0,80%;13,07%;11,4%;96,1%;2021-11-12
Кофе в зёрнах EGOISTE Truffle, арабика, 1 кг;250362177;EG10004024;https://www.ozon.ru/product/250362177;EGOISTE;Продукты питания;Кофе в зернах;Нет;8 768 825 ₽;+67%;4 246;1 ₽;2 065 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,8;37,0%;45,0%;309 630;27 798;0,89%;15,56%;3,0%;0,0%;0001-01-01
Кофе в зёрнах BUSHIDO Sensei, 1000 г;1527176567;BU10004014;https://www.ozon.ru/product/1527176567;BUSHIDO;Продукты питания;Кофе в зернах;Нет;8 638 675 ₽;+57%;3 925;1 ₽;2 201 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,3;37,0%;45,0%;310 516;53 051;0,58%;8,74%;6,0%;0,0%;0001-01-01
Кофе в зернах 1 кг, Julius Meinl Prasident (Президент);171466416;89933;https://www.ozon.ru/product/171466416;Julius Meinl;Продукты питания;Кофе в зернах;Нет;8 401 797 ₽;+17%;4 259;908 ₽;1 973 ₽;0 ₽;5 из 28;149 605 ₽;76;FBO;28 ч;4,5;38,0%;46,0%;808 374;43 215;0,24%;8,28%;2,6%;95,8%;2020-03-31
Дрип кофе Sibaristica Drip Max, Эфиопия, Колумбия, Гватемала (Набор молотого кофе в дрип-пакетах) 24шт*10гр;865313780;К0000003460;https://www.ozon.ru/product/865313780;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;8 380 044 ₽;+53%;10 530;65 ₽;796 ₽;0 ₽;13 из 28;295 426 ₽;371;FBO;31 ч;3,5;44,0%;58,0%;609 569;97 743;0,80%;11,50%;8,4%;96,4%;2023-02-15
Кофе в зернах Tasty Coffee Эфиопия Иргачефф, 1 кг;332381279;2МЭ001ЗЕРН;https://www.ozon.ru/product/332381279;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;8 314 468 ₽;+4%;3 600;1 ₽;2 310 ₽;0 ₽;25 из 28;292 300 ₽;127;FBO;44 ч;7,4;38,0%;47,0%;460 627;33 447;0,39%;12,51%;11,1%;95,4%;2021-09-27
Кофе молотый Jardin Dessert Cup, 250 г;33069251;0549-12, 0549-12-0, 0549-12-0;https://www.ozon.ru/product/33069251;Jardin;Продукты питания;Кофе молотый;Нет;8 286 891 ₽;+189%;24 429;1 ₽;339 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,0;56,0%;81,0%;392 419;171 249;1,77%;12,91%;3,9%;0,0%;0001-01-01
Кофе молотый Жокей Традиционный, 250 г;33069371;0305-12, 0305-12-0, 0305-12-0;https://www.ozon.ru/product/33069371;Жокей;Продукты питания;Кофе молотый;Нет;8 165 520 ₽;+192%;31 370;1 ₽;260 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;49,0%;68,0%;381 730;151 561;3,85%;18,75%;0,1%;0,0%;0001-01-01
Кофе молотый EGOISTE Truffle, 250 г;250362166;EG25012035;https://www.ozon.ru/product/250362166;EGOISTE;Продукты питания;Кофе молотый;Нет;8 143 763 ₽;+120%;14 667;1 ₽;555 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,6;45,0%;61,0%;532 969;117 287;1,28%;13,57%;9,4%;0,0%;0001-01-01
Кофе капсульный Coffesso Delicato Italiano Espresso, для системы Nespresso, 50 шт;167759565;100944;https://www.ozon.ru/product/167759565;Coffesso;Продукты питания;Кофе в капсулах;Нет;8 086 264 ₽;0%;8 196;1 ₽;987 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,2;41,0%;52,0%;158 679;46 972;1,40%;17,51%;0,5%;0,0%;0001-01-01
Кофе молотый 500 г, Julius Meinl Prasident;2430898910;98735;https://www.ozon.ru/product/2430898910;Julius Meinl;Продукты питания;Кофе молотый;Нет;8 033 120 ₽;+29%;10 877;6 ₽;739 ₽;0 ₽;16 из 28;122 922 ₽;166;FBO;50 ч;1,8;42,0%;54,0%;651 385;74 911;0,75%;13,37%;2,1%;94,5%;2025-07-08
